model,seeds,trainable_parameters,test_mse_mean,test_mse_std,test_nrmse_mean,test_nrmse_std
single_esn,5,151,0.006832574587315321,0.001084647601614943,0.6734649929150354,0.05306013621591062
deep_esn,5,151,0.006762936618179083,0.0014005507882071807,0.6690030087117542,0.06705184408808627
proposed_nonlinear,5,1661,0.0035228604450821877,0.0005288889671056244,0.48368251795610673,0.03647799575579128
proposed_linear,5,1661,0.003452949970960617,0.000457654683012752,0.47911089906941184,0.03166716011108548
large_esn,5,301,0.004501485172659159,0.00035406800271743996,0.5476445222366267,0.02190135938696288
