model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,final_latent_delta,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_mse,validation_mars_mse,validation_sun_rmse_radians,validation_mars_rmse_radians,validation_mars_velocity_mse,validation_mars_curvature_mse,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_sun_rmse_radians,test_mars_rmse_radians,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients,latent_depth_diagnostics
reservoir,0,cuda,126,15000,0.7550042867660522,15000,337.7251408319862,"[0.03471158817410469, 0.0075332606211304665]",0.740940272808075,0.8607788756748593,0.1369972129727379,0.8596470952033997,0.6222333908081055,0.9271715565111991,0.7888177170982568,0.0018645745003595948,2.653791307238862e-05,0.7421467304229736,0.8614793847927956,0.1371087024615384,0.8639991879463196,0.6202942132949829,0.9295155662743468,0.7875875908716331,0.0018645018571987748,2.7129291993333027e-05,0.8863566855668419,"[0.9645334363141917, 0.8536917173797207]",0.9058234557811333,"[0.966344018600593, 0.8805358576107611]",0.9054431868933822,"[0.9476978038245782, 0.8621239436743908]",0.5531289812241015,0.647405313453369,0.6465173660398214,"[0.03471158817410469, 0.0075332606211304665]","[0.02433893259288078, -0.00016458210364716337]",0.5307011675823374,0.9757942803988444,"[[0.1720743331390647, 0.117897903060398], [0.05629363251962602, -0.22447055458092297], [-0.3898224273410985, 0.7318747725669952]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.8863566855668419, 'heliocentric_to_latent_r2_per_dimension': [0.9645334363141917, 0.8536917173797207], 'latent_to_heliocentric_r2': 0.9054431868933822, 'latent_to_heliocentric_r2_per_angle': [0.9476978038245782, 0.8621239436743908], 'latent_to_heliocentric_rmse_radians': 0.5531289812241015, 'geocentric_to_latent_r2': 0.9058234557811333, 'geocentric_to_latent_r2_per_dimension': [0.966344018600593, 0.8805358576107611], 'latent_to_geocentric_r2': 0.921088010449175, 'latent_to_geocentric_r2_per_angle': [0.9476978038245782, 0.8952807147736597], 'latent_to_geocentric_rmse_radians': 0.5123734216616695, 'test_branch_heliocentric_to_latent_r2': 0.647405313453369, 'test_branch_latent_to_heliocentric_r2': 0.6465173660398214, 'test_branch_geocentric_to_latent_r2': 0.8991075415944103, 'test_branch_latent_to_geocentric_r2': 0.9141121770950675}]"
reservoir,1,cuda,126,15000,0.6005030274391174,15000,336.4451099909784,"[-0.03593837842345238, 0.023133551701903343]",0.5862307548522949,0.765657073925589,0.12185810802853422,0.5538498759269714,0.6186116337776184,0.7442109082289586,0.7865186798656586,0.0017296456499025226,2.511207821953576e-05,0.5817235112190247,0.7627080117705757,0.12138875020907862,0.5459580421447754,0.6174889206886292,0.7388897361208744,0.7858046326464544,0.0017129090847447515,2.5466266379226e-05,0.9212308714243173,"[0.916231101547991, 0.934989740879654]",0.9448970917089471,"[0.9426359594085764, 0.9511195006087252]",0.9269595743861773,"[0.9662689088172767, 0.8897050374825867]",0.49823509089185686,0.5878424145240314,0.6793107539573389,"[-0.03593837842345238, 0.023133551701903343]","[-0.031065475860562013, 0.018192818646357505]",0.19275945633505154,0.9991118845390279,"[[-0.10772821234444646, 0.18694658209104192], [-0.28246672604949513, -0.0676969218297861], [1.0410910306270476, 0.06181994991490241]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9212308714243173, 'heliocentric_to_latent_r2_per_dimension': [0.916231101547991, 0.934989740879654], 'latent_to_heliocentric_r2': 0.9269595743861773, 'latent_to_heliocentric_r2_per_angle': [0.9662689088172767, 0.8897050374825867], 'latent_to_heliocentric_rmse_radians': 0.49823509089185686, 'geocentric_to_latent_r2': 0.9448970917089471, 'geocentric_to_latent_r2_per_dimension': [0.9426359594085764, 0.9511195006087252], 'latent_to_geocentric_r2': 0.9466958472943038, 'latent_to_geocentric_r2_per_angle': [0.9662689088172767, 0.9295892676096876], 'latent_to_geocentric_rmse_radians': 0.4347522187607473, 'test_branch_heliocentric_to_latent_r2': 0.5878424145240314, 'test_branch_latent_to_heliocentric_r2': 0.6793107539573389, 'test_branch_geocentric_to_latent_r2': 0.9509949993506812, 'test_branch_latent_to_geocentric_r2': 0.9525637282394617}]"
reservoir,2,cuda,126,15000,0.5376064777374268,15000,336.04071322700474,"[-0.014846980571746826, -0.023058906197547913]",0.5251882672309875,0.724698742396444,0.11533938710487418,0.43295079469680786,0.6174256205558777,0.6579899654985689,0.7857643543428766,0.0018879937706515193,3.5578628740040585e-05,0.5234220623970032,0.7234791374994881,0.11514528095690456,0.4329656958580017,0.6138783693313599,0.6580012886446361,0.7835039051155775,0.0018779515521600842,3.6506233300315216e-05,0.8930456432241538,"[0.9165745730758201, 0.8770508936918233]",0.8971089644258183,"[0.941319608182865, 0.8670549804939321]",0.914606449393155,"[0.9772122303411652, 0.8568686008994083]",0.5666228733432107,0.5435657370622823,0.6415858648725214,"[-0.014846980571746826, -0.023058906197547913]","[-0.01209617690131658, -0.021122596275960897]",0.13820164422203962,0.9986494952255989,"[[-0.15224169610374655, -0.0654739962095284], [0.09760384361101034, -0.20669252352982137], [-0.2599387550573686, 0.8796313760020505]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.8930456432241538, 'heliocentric_to_latent_r2_per_dimension': [0.9165745730758201, 0.8770508936918233], 'latent_to_heliocentric_r2': 0.914606449393155, 'latent_to_heliocentric_r2_per_angle': [0.9772122303411652, 0.8568686008994083], 'latent_to_heliocentric_rmse_radians': 0.5666228733432107, 'geocentric_to_latent_r2': 0.8971089644258183, 'geocentric_to_latent_r2_per_dimension': [0.941319608182865, 0.8670549804939321], 'latent_to_geocentric_r2': 0.9167185919970922, 'latent_to_geocentric_r2_per_angle': [0.9772122303411652, 0.8613012203218661], 'latent_to_geocentric_rmse_radians': 0.5605491605657535, 'test_branch_heliocentric_to_latent_r2': 0.5435657370622823, 'test_branch_latent_to_heliocentric_r2': 0.6415858648725214, 'test_branch_geocentric_to_latent_r2': 0.9063617066022196, 'test_branch_latent_to_geocentric_r2': 0.9248698689931415}]"
