model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_rmse_radians,validation_mars_rmse_radians,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_rmse_radians,test_mars_rmse_radians,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients
reservoir,0,cuda,606,60000,0.08000592887401581,60000,1192.6716881012544,0.07880070060491562,0.28071462485042636,0.04467712014313236,0.060071367770433426,0.3924192190170288,0.08046254515647888,0.2836592060139753,0.045145764790646456,0.06025339290499687,0.39660388231277466,0.9814984967535889,"[0.9920045253546912, 0.9735040391096971]",0.9527663829290756,"[0.9768700873129392, 0.9344249093239502]",0.9836134040442918,"[0.9986090244306594, 0.9682399601349744]",0.2302631138831964,0.6294933411425507,0.6707405283690031,"[-0.006171821616590023, -0.013622207567095757]","[-0.00608138789175268, -0.013449425169822645]",0.013212215184895381,0.9999997090619146,"[[-0.07683102255354182, -0.06156107986458763], [0.04961844752268501, -0.09420639915316933], [-0.119868185627898, 0.30035783743964334]]"
reservoir,1,cuda,606,60000,0.08094343543052673,60000,1189.162468967028,0.07959038764238358,0.28211768402988063,0.044900423946992965,0.045535605400800705,0.396367609500885,0.0809328630566597,0.2844870173780514,0.04527751506118681,0.045259274542331696,0.3997715711593628,0.9821082048627865,"[0.9923741370704605, 0.9757217209383782]",0.9467963740835752,"[0.9719181012567916, 0.931168031376891]",0.9861071703233016,"[0.9980192021273098, 0.9748178103058481]",0.21729414274788336,0.5513517941439223,0.6476553191581838,"[-0.00526460399851203, -0.008711309172213078]","[-0.005321957602858878, -0.008461219627030645]",0.02566903057863719,0.9998406693652298,"[[-0.06772286477830357, -0.02186125920942426], [0.04433754571267495, -0.09101379441269164], [-0.11234693919222363, 0.27858759634870406]]"
reservoir,2,cuda,606,60000,0.07735355943441391,60000,1187.258120528888,0.07592740654945374,0.2755492815259255,0.043855030220271325,0.030638452619314194,0.38847920298576355,0.07728064805269241,0.277993971252422,0.04424411467456921,0.03095625340938568,0.3919221758842468,0.9857411915094938,"[0.9794196916827025, 0.9940858954914179]",0.955500993395592,"[0.9313237620758181, 0.9874161787145836]",0.9852528247728226,"[0.9985189074037077, 0.9730182508388786]",0.2354702183751945,0.6709970185957779,0.656105354375309,"[0.001040509669110179, 0.012013047933578491]","[0.0009722052240284323, 0.011827247641651413]",0.01668116464101537,0.999990346120274,"[[-0.03714870863723003, 0.08348751555412277], [0.08510423428152164, 0.02760033638181333], [-0.2548664091323069, -0.10904672347424695]]"
scinet,0,cuda,21408,60000,1.1653484106063843,60000,150.84288299875334,1.1782644987106323,1.0854789259633888,0.17275933668915483,1.1888096332550049,0.9712159633636475,1.162950873374939,1.0784019998937961,0.17163300892328326,1.1801371574401855,0.9660114645957947,0.7988131013511035,"[0.9800283180339899, 0.780695969684067]",0.805242463460244,"[0.9461711240654256, 0.7911530099610279]",0.8861281115686366,"[0.8693502828524462, 0.9033286779077487]",0.6069994005196867,0.5002880526843358,0.5643940707947234,"[0.003394258674234152, -0.6626003980636597]","[0.003289306151504514, -0.05789214762625322]",10.428608399838492,0.9986672369971554,"[[0.09024242649138098, -0.36199510282280656], [-0.1184713319520823, -0.22291993325025394], [0.11971392696366462, 1.8285483290763909]]"
scinet,1,cuda,21408,60000,1.2021446228027344,60000,150.79390155617148,1.2153589725494385,1.1024332054820547,0.17545769408111217,1.2085214853286743,0.984984278678894,1.2013665437698364,1.09606867657544,0.1744447478451732,1.2004867792129517,0.9805938601493835,0.8436574778966885,"[0.8524011002072085, 0.8403902239691942]",0.8627561524482258,"[0.8661679037562952, 0.8614812771520504]",0.906443896078302,"[0.8874429653203223, 0.9244516005172176]",0.5638826447368689,0.5845026787124927,0.5898384358396831,"[0.45716363191604614, -0.7665380835533142]","[0.03485404963284853, -0.05516624805032178]",12.677819591360821,0.9996696329343134,"[[0.2545150138376226, -0.32925435998765634], [0.06536948708584037, -0.24196538887339109], [-1.0140126203968483, 1.7676457829844439]]"
scinet,2,cuda,21408,60000,1.337323784828186,59500,150.85177879268304,1.3555407524108887,1.164276922562192,0.18530042735359273,1.267952561378479,1.0504177808761597,1.3408830165863037,1.157965032540406,0.18429585885637306,1.2595902681350708,1.046517252922058,0.952372571290994,"[0.9525003672734098, 0.9523043474460853]",0.9522783093967713,"[0.939019418861836, 0.9593567488016405]",0.9670079237094974,"[0.9658225516045486, 0.9681011246245389]",0.35219759837286757,0.6639902758871161,0.6467700820599094,"[1.1583256721496582, 1.7197073698043823]","[0.028004518620864328, 0.04696077530317367]",36.923027311103446,0.9984858147653972,"[[0.11604311569158914, 0.31231329951199527], [0.21900645891134157, 0.14568573931102624], [-1.0655685770605932, -1.4398146318040275]]"
