model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_rmse_radians,validation_mars_rmse_radians,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_rmse_radians,test_mars_rmse_radians,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients
reservoir,0,cuda,606,60000,0.025414716452360153,25000,936.5096383169293,0.07923917472362518,0.2814945376443834,0.044801247119471234,0.04055332764983177,0.3960224390029907,0.08015113323926926,0.2831097547582373,0.0450583169073077,0.04080677404999733,0.3982926905155182,0.9792013758276196,"[0.9859555683634852, 0.9706401036601195]",0.9462739670581078,"[0.9609002966872279, 0.9277343728576859]",0.9841284852019762,"[0.9994769671829409, 0.9683932890713096]",0.22661528007577292,0.5812985316631989,0.6725115545409213,"[-0.002183520933613181, -0.00593079486861825]","[-0.0022390594419270018, -0.005865583274750913]",0.01364305937038545,0.9999292578322669,"[[-0.040264701863356754, -0.021969881527997056], [0.0408107471802029, -0.05026692259633296], [-0.10859287756473097, 0.17806474027970032]]"
scinet,0,cuda,21408,60000,1.2849806547164917,60000,184.6943030161783,1.3005858659744263,1.1404323153850149,0.1815054402552605,1.2366234064102173,1.0353426933288574,1.2857550382614136,1.1339113890694517,0.18046760259860056,1.2288554906845093,1.0302544832229614,0.8077772018915037,"[0.982974119933768, 0.8029918389665174]",0.8274516423501267,"[0.9508555267960184, 0.824080965369907]",0.8987597821377115,"[0.8856055927296647, 0.9122454081400304]",0.5723432116816437,0.5167638631662521,0.583156795629082,"[0.0017949168104678392, -1.2325447797775269]","[0.001811468517980577, -0.056560554086290946]",20.780941515633025,0.9995330804980476,"[[0.04616302862514721, -0.34862317257436465], [-0.05859093747204771, -0.22728895496514384], [0.053355185293825394, 1.800961918539314]]"
