model,seeds,trainable_parameters,test_relative_rmse_2pi_mean,test_relative_rmse_2pi_std,heliocentric_to_latent_r2_mean,heliocentric_to_latent_r2_std,latent_to_heliocentric_r2_mean,latent_to_heliocentric_r2_std
reservoir,3,606,0.04488913150880083,0.0005624718399871209,0.9831159643752897,0.0022938611824228337,0.9849911330468054,0.001267311912348779
scinet,3,21408,0.17679120520827651,0.006649536730076346,0.8649477168462619,0.07896254433560561,0.919859977118812,0.042075877006301166
