model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,final_latent_delta,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_mse,validation_mars_mse,validation_sun_rmse_radians,validation_mars_rmse_radians,validation_mars_velocity_mse,validation_mars_curvature_mse,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_sun_rmse_radians,test_mars_rmse_radians,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients,latent_depth_diagnostics
reservoir,0,cuda,86,15000,1.5127463340759277,15000,339.7021564519964,"[-0.05723961070179939, 0.05530455708503723]",1.5000585317611694,1.2247687666499214,0.19492800335689908,2.18870210647583,0.8114150166511536,1.4794262761205204,0.9007857773361841,0.0021954274270683527,3.290651511633769e-05,1.5098567008972168,1.2287622637830382,0.19556358816585795,2.2004785537719727,0.8192349672317505,1.4834010090909244,0.9051159965616288,0.0021816203370690346,3.361258495715447e-05,0.791854369499901,"[0.7631441851666985, 0.8161112538001032]",0.822193867131314,"[0.8065553326935482, 0.8354066739903392]",0.7502569799439178,"[0.6802267835348244, 0.8220516539993463]",0.8989316680706452,0.4996547735744812,0.5577789343159563,"[-0.05723961070179939, 0.05530455708503723]","[-0.027248457459654433, 0.003841242395731651]",2.1645784289210357,0.8091113817749932,"[[-0.09829600190995645, 0.15225230391919925], [-0.24059967358427345, -0.22656140180080764], [0.6165647448051332, 0.7353022802702502]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.791854369499901, 'heliocentric_to_latent_r2_per_dimension': [0.7631441851666985, 0.8161112538001032], 'latent_to_heliocentric_r2': 0.7502569799439178, 'latent_to_heliocentric_r2_per_angle': [0.6802267835348244, 0.8220516539993463], 'latent_to_heliocentric_rmse_radians': 0.8989316680706452, 'geocentric_to_latent_r2': 0.822193867131314, 'geocentric_to_latent_r2_per_dimension': [0.8065553326935482, 0.8354066739903392], 'latent_to_geocentric_r2': 0.7740219533781102, 'latent_to_geocentric_r2_per_angle': [0.6802267835348244, 0.8649884500709533], 'latent_to_geocentric_rmse_radians': 0.8670581446139575, 'test_branch_heliocentric_to_latent_r2': 0.4996547735744812, 'test_branch_latent_to_heliocentric_r2': 0.5577789343159563, 'test_branch_geocentric_to_latent_r2': 0.8253961428472989, 'test_branch_latent_to_geocentric_r2': 0.7920385933007681}]"
reservoir,1,cuda,86,15000,1.0527253150939941,15000,340.39173662502435,"[0.027700334787368774, 0.016792336478829384]",1.031490445137024,1.015623180681213,0.1616414495241282,1.219433307647705,0.8435476422309875,1.104279542347727,0.9184484973208827,0.002035582670941949,1.7788239347282797e-05,1.0304884910583496,1.0151297902526306,0.16156292399854508,1.2255007028579712,0.835476279258728,1.107023352444731,0.9140439153884938,0.002005486050620675,1.8154683857574128e-05,0.8449378472031851,"[0.8846701580045636, 0.8291391706543445]",0.8678207585986148,"[0.9015682065766188, 0.8544018306732144]",0.864652615039272,"[0.8884972449030344, 0.8420544037984019]",0.6782309415169601,0.5341263761323435,0.6056804282830495,"[0.027700334787368774, 0.016792336478829384]","[0.02312245881889407, -0.0001685831470880975]",0.7597545879262964,0.8513374179479941,"[[0.12094790706736958, 0.13885174354296545], [0.1335198530241497, -0.26397102334618444], [-0.5773295561422926, 0.7662446325560232]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.8449378472031851, 'heliocentric_to_latent_r2_per_dimension': [0.8846701580045636, 0.8291391706543445], 'latent_to_heliocentric_r2': 0.864652615039272, 'latent_to_heliocentric_r2_per_angle': [0.8884972449030344, 0.8420544037984019], 'latent_to_heliocentric_rmse_radians': 0.6782309415169601, 'geocentric_to_latent_r2': 0.8678207585986148, 'geocentric_to_latent_r2_per_dimension': [0.9015682065766188, 0.8544018306732144], 'latent_to_geocentric_r2': 0.87973267071517, 'latent_to_geocentric_r2_per_angle': [0.8884972449030344, 0.8720725501571077], 'latent_to_geocentric_rmse_radians': 0.6530329851595887, 'test_branch_heliocentric_to_latent_r2': 0.5341263761323435, 'test_branch_latent_to_heliocentric_r2': 0.6056804282830495, 'test_branch_geocentric_to_latent_r2': 0.8685205813241258, 'test_branch_latent_to_geocentric_r2': 0.8757717337603534}]"
reservoir,2,cuda,86,15000,1.2524291276931763,15000,339.68988177200663,"[0.04306529089808464, 0.032217931002378464]",1.2493517398834229,1.1177440404150778,0.17789448914356687,1.381891131401062,1.1168122291564941,1.175538655851462,1.0567933710789892,0.0023473009932786226,2.5991939764935523e-05,1.2496592998504639,1.1178816126274123,0.17791638444119198,1.3778462409973145,1.1214722394943237,1.1738169537867966,1.0589958637758334,0.002325932728126645,2.648226472956594e-05,0.8315119291804149,"[0.8290440642739393, 0.8353582764276982]",0.8493690036718309,"[0.8435349487151609, 0.8584618033482653]",0.873629655630225,"[0.9430598487259574, 0.8095980273139338]",0.6892934486023018,0.515723949186788,0.656881174142858,"[0.04306529089808464, 0.032217931002378464]","[0.029749622078414546, 0.010455187522029626]",0.8090871559742056,0.9540451943664531,"[[0.08273026666240677, 0.17912845709966865], [0.30896333482303273, -0.173839743429432], [-1.0114826835732278, 0.3828557373838421]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.8315119291804149, 'heliocentric_to_latent_r2_per_dimension': [0.8290440642739393, 0.8353582764276982], 'latent_to_heliocentric_r2': 0.873629655630225, 'latent_to_heliocentric_r2_per_angle': [0.9430598487259574, 0.8095980273139338], 'latent_to_heliocentric_rmse_radians': 0.6892934486023018, 'geocentric_to_latent_r2': 0.8493690036718309, 'geocentric_to_latent_r2_per_dimension': [0.8435349487151609, 0.8584618033482653], 'latent_to_geocentric_r2': 0.8847655653611863, 'latent_to_geocentric_r2_per_angle': [0.9430598487259574, 0.8313629918642497], 'latent_to_geocentric_rmse_radians': 0.6593724763139258, 'test_branch_heliocentric_to_latent_r2': 0.515723949186788, 'test_branch_latent_to_heliocentric_r2': 0.656881174142858, 'test_branch_geocentric_to_latent_r2': 0.8806848780088891, 'test_branch_latent_to_geocentric_r2': 0.9015756613340665}]"
