model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,final_latent_delta,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_mse,validation_mars_mse,validation_sun_rmse_radians,validation_mars_rmse_radians,validation_mars_velocity_mse,validation_mars_curvature_mse,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_sun_rmse_radians,test_mars_rmse_radians,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients,latent_depth_diagnostics
reservoir,0,cuda,606,15000,0.10138367861509323,15000,340.85616253700573,"[-0.004969309084117413, -0.010458258911967278]",0.09956483542919159,0.31553896023976435,0.050219585260235525,0.022099308669567108,0.17703035473823547,0.1486583622591313,0.4207497531053767,0.0012028277851641178,2.211015271313954e-05,0.10109556466341019,0.3179552872078245,0.05060415564132855,0.022144431248307228,0.18004672229290009,0.1488100508981407,0.4243191278894932,0.0012237954651936889,2.258413951494731e-05,0.9865992201537013,"[0.9917424659356995, 0.9790820413385913]",0.9546134298677291,"[0.9672147188741603, 0.9361958505223401]",0.9871118048226185,"[0.9962074215140448, 0.9777870189200728]",0.2042095521405641,0.6437781260997624,0.665747599719085,"[-0.004969309084117413, -0.010458258911967278]","[-0.004875556910161175, -0.010310216788113799]",0.015364552606909491,0.9999982639659538,"[[-0.07406686231725679, -0.04644774939627934], [0.0632503473276139, -0.07361901075449175], [-0.1733226473306499, 0.24995121772334922]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9865992201537013, 'heliocentric_to_latent_r2_per_dimension': [0.9917424659356995, 0.9790820413385913], 'latent_to_heliocentric_r2': 0.9871118048226185, 'latent_to_heliocentric_r2_per_angle': [0.9962074215140448, 0.9777870189200728], 'latent_to_heliocentric_rmse_radians': 0.2042095521405641, 'geocentric_to_latent_r2': 0.9546134298677291, 'geocentric_to_latent_r2_per_dimension': [0.9672147188741603, 0.9361958505223401], 'latent_to_geocentric_r2': 0.9572704429922453, 'latent_to_geocentric_r2_per_angle': [0.9962074215140448, 0.9195077252121023], 'latent_to_geocentric_rmse_radians': 0.377032937875211, 'test_branch_heliocentric_to_latent_r2': 0.6437781260997624, 'test_branch_latent_to_heliocentric_r2': 0.665747599719085, 'test_branch_geocentric_to_latent_r2': 0.9555344681633355, 'test_branch_latent_to_geocentric_r2': 0.9602497561643987}]"
reservoir,1,cuda,606,15000,0.10427980124950409,15000,342.5321589630039,"[-0.009847882203757763, -0.009836090728640556]",0.10254177451133728,0.3202214460515368,0.050964826023136775,0.022101502865552902,0.18298202753067017,0.14866574207110697,0.4277639857803251,0.001226979773491621,1.8059645299217664e-05,0.10420770198106766,0.3228121775600599,0.05137715374894215,0.021915679797530174,0.1864997297525406,0.14803945351672362,0.43185614474329365,0.0012451562797650695,1.8445138266542926e-05,0.9818026267410697,"[0.9979698411451914, 0.9712844650197174]",0.9539181964247307,"[0.9940241415329594, 0.9278258340203194]",0.9838797942776101,"[0.996641158714108, 0.9717854983751195]",0.2340657955650257,0.6051141623962516,0.6537616811801107,"[-0.009847882203757763, -0.009836090728640556]","[-0.009961648266562366, -0.009541686058718779]",0.02288083261832996,0.9997810051242583,"[[-0.09266031973243212, -0.022300306175038996], [0.018803776159033954, -0.10706374711931528], [-0.012336500647110202, 0.3423811417755508]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9818026267410697, 'heliocentric_to_latent_r2_per_dimension': [0.9979698411451914, 0.9712844650197174], 'latent_to_heliocentric_r2': 0.9838797942776101, 'latent_to_heliocentric_r2_per_angle': [0.996641158714108, 0.9717854983751195], 'latent_to_heliocentric_rmse_radians': 0.2340657955650257, 'geocentric_to_latent_r2': 0.9539181964247307, 'geocentric_to_latent_r2_per_dimension': [0.9940241415329594, 0.9278258340203194], 'latent_to_geocentric_r2': 0.9574075519911355, 'latent_to_geocentric_r2_per_angle': [0.996641158714108, 0.9231179373520623], 'latent_to_geocentric_rmse_radians': 0.38862218198522064, 'test_branch_heliocentric_to_latent_r2': 0.6051141623962516, 'test_branch_latent_to_heliocentric_r2': 0.6537616811801107, 'test_branch_geocentric_to_latent_r2': 0.9493368707702154, 'test_branch_latent_to_geocentric_r2': 0.95646483166595}]"
reservoir,2,cuda,606,15000,0.11014220118522644,15000,342.4049284779758,"[0.0008579231216572225, 0.012517000548541546]",0.1081344485282898,0.32883802780136273,0.052336197601176984,0.04303363338112831,0.17323525249958038,0.20744549496464923,0.41621539195419044,0.001194678945466876,2.0395136743900366e-05,0.10908277332782745,0.3302768131852847,0.05256518740707653,0.0430242121219635,0.1751413494348526,0.2074227859275916,0.4184989240545937,0.0012091901153326035,2.0856172341154888e-05,0.9838253779368192,"[0.980766144742409, 0.988380976758047]",0.948146705544397,"[0.9244165625362375, 0.9834839864797943]",0.9823677402871096,"[0.9936595977697088, 0.9719538846405064]",0.2574752884318042,0.666575901774138,0.6437670886577482,"[0.0008579231216572225, 0.012517000548541546]","[0.0008302796220486382, 0.012244405720011172]",0.02232571706378079,0.9999996910658875,"[[-0.04344302018411905, 0.08896053410722796], [0.0947341829689437, 0.023815154464910178], [-0.2760186348426972, -0.13482850494537363]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9838253779368192, 'heliocentric_to_latent_r2_per_dimension': [0.980766144742409, 0.988380976758047], 'latent_to_heliocentric_r2': 0.9823677402871096, 'latent_to_heliocentric_r2_per_angle': [0.9936595977697088, 0.9719538846405064], 'latent_to_heliocentric_rmse_radians': 0.2574752884318042, 'geocentric_to_latent_r2': 0.948146705544397, 'geocentric_to_latent_r2_per_dimension': [0.9244165625362375, 0.9834839864797943], 'latent_to_geocentric_r2': 0.9460822073104924, 'latent_to_geocentric_r2_per_angle': [0.9936595977697088, 0.9024972287476338], 'latent_to_geocentric_rmse_radians': 0.4510303111801391, 'test_branch_heliocentric_to_latent_r2': 0.666575901774138, 'test_branch_latent_to_heliocentric_r2': 0.6437670886577482, 'test_branch_geocentric_to_latent_r2': 0.9499684810985316, 'test_branch_latent_to_geocentric_r2': 0.9485330197040389}]"
