model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,final_latent_delta,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_mse,validation_mars_mse,validation_sun_rmse_radians,validation_mars_rmse_radians,validation_mars_velocity_mse,validation_mars_curvature_mse,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_sun_rmse_radians,test_mars_rmse_radians,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients,latent_depth_diagnostics
reservoir,0,cuda,1206,15000,0.08003074675798416,15000,533.4060752200021,"[0.0034401617012917995, -0.010740799829363823]",0.07846812158823013,0.2801216192803228,0.04458274037536935,0.014374488033354282,0.14256174862384796,0.1198936530153047,0.37757350095557285,0.0011225946946069598,1.7913154806592502e-05,0.07945086061954498,0.28187029041661166,0.04486105003055184,0.014069951139390469,0.14483177661895752,0.11861682485798744,0.3805677030686623,0.0011483104899525642,1.846160739660263e-05,0.9544908686356277,"[0.9664740769374376, 0.9353572027231496]",0.9027902090008302,"[0.9243104507047125, 0.8684287004008608]",0.9635698468058621,"[0.9966180113604142, 0.9296890142277598]",0.3433290085923396,0.5741128299078446,0.6622823363126227,"[0.0034401617012917995, -0.010740799829363823]","[0.003708546530048696, -0.01026126857723894]",0.050365182536656665,0.9993214785547369,"[[0.07444193620002368, -0.04180807947070594], [-0.08218435554292261, -0.08158695544909982], [0.25871777670454077, 0.27164378444819615]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9544908686356277, 'heliocentric_to_latent_r2_per_dimension': [0.9664740769374376, 0.9353572027231496], 'latent_to_heliocentric_r2': 0.9635698468058621, 'latent_to_heliocentric_r2_per_angle': [0.9966180113604142, 0.9296890142277598], 'latent_to_heliocentric_rmse_radians': 0.3433290085923396, 'geocentric_to_latent_r2': 0.9027902090008302, 'geocentric_to_latent_r2_per_dimension': [0.9243104507047125, 0.8684287004008608], 'latent_to_geocentric_r2': 0.922059989252892, 'latent_to_geocentric_r2_per_angle': [0.9966180113604142, 0.8497504867187982], 'latent_to_geocentric_rmse_radians': 0.5092081284435701, 'test_branch_heliocentric_to_latent_r2': 0.5741128299078446, 'test_branch_latent_to_heliocentric_r2': 0.6622823363126227, 'test_branch_geocentric_to_latent_r2': 0.9013817843115607, 'test_branch_latent_to_geocentric_r2': 0.9248080552323996}]"
reservoir,1,cuda,1206,15000,0.06261076033115387,2000,532.2374898830021,"[0.009370984509587288, -0.005017115268856287]",0.0745096281170845,0.2729645180551577,0.04344365233717526,0.003908218815922737,0.14511102437973022,0.06251574854324898,0.3809344095506866,0.0011777819599956274,2.838681211869698e-05,0.07552182674407959,0.2748123482379924,0.043737743644767804,0.0038028215058147907,0.14724083244800568,0.06166702121729888,0.383719731637566,0.0012079126900061965,2.900360050261952e-05,0.9790826072970245,"[0.99796552451707, 0.9666989676521947]",0.941240256148532,"[0.9931378204054019, 0.9072052220235409]",0.9822066979463918,"[0.9992160243205126, 0.9660864917337786]",0.24591268961701732,0.6047870857663229,0.6395260501846638,"[0.009370984509587288, -0.005017115268856287]","[0.009343123699969934, -0.004855586777844036]",0.015567063826309731,0.9999246805856451,"[[0.08986703326608336, 0.01738454801307695], [-0.02320744926841337, -0.10856170915940846], [0.04834057259931744, 0.2931074891860728]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9790826072970245, 'heliocentric_to_latent_r2_per_dimension': [0.99796552451707, 0.9666989676521947], 'latent_to_heliocentric_r2': 0.9822066979463918, 'latent_to_heliocentric_r2_per_angle': [0.9992160243205126, 0.9660864917337786], 'latent_to_heliocentric_rmse_radians': 0.24591268961701732, 'geocentric_to_latent_r2': 0.941240256148532, 'geocentric_to_latent_r2_per_dimension': [0.9931378204054019, 0.9072052220235409], 'latent_to_geocentric_r2': 0.9498569816946496, 'latent_to_geocentric_r2_per_angle': [0.9992160243205126, 0.9067178802183059], 'latent_to_geocentric_rmse_radians': 0.4216639968777144, 'test_branch_heliocentric_to_latent_r2': 0.6047870857663229, 'test_branch_latent_to_heliocentric_r2': 0.6395260501846638, 'test_branch_geocentric_to_latent_r2': 0.9342083777911198, 'test_branch_latent_to_geocentric_r2': 0.9414249184749366}]"
reservoir,2,cuda,1206,15000,0.07313445955514908,15000,532.0543860559992,"[0.003911967854946852, 0.01057578343898058]",0.07150451838970184,0.26740328791864515,0.042558555071277676,0.006100983824580908,0.13690803945064545,0.07810879479662267,0.37001086396299965,0.0010903145885095,1.809103923733346e-05,0.07231452316045761,0.268913597946362,0.04279892837779007,0.00588964531198144,0.13873939216136932,0.07674402460114689,0.3724773713413599,0.0011141836876049638,1.858873656601645e-05,0.9777678292419937,"[0.9624280359324776, 0.9916434020320264]",0.9337471204257503,"[0.8790806022508474, 0.9831955878211531]",0.9787246272584642,"[0.9968159168326541, 0.9620400318886045]",0.28282653642822025,0.6890526399939998,0.6441197495739834,"[0.003911967854946852, 0.01057578343898058]","[0.0037151758282374697, 0.010704477790427071]",0.020751898828185046,0.9997953966476695,"[[-0.01988848819865848, 0.10472486738035827], [0.09546186522776764, -0.029908300305584893], [-0.32446905525672654, 0.09813989201098135]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9777678292419937, 'heliocentric_to_latent_r2_per_dimension': [0.9624280359324776, 0.9916434020320264], 'latent_to_heliocentric_r2': 0.9787246272584642, 'latent_to_heliocentric_r2_per_angle': [0.9968159168326541, 0.9620400318886045], 'latent_to_heliocentric_rmse_radians': 0.28282653642822025, 'geocentric_to_latent_r2': 0.9337471204257503, 'geocentric_to_latent_r2_per_dimension': [0.8790806022508474, 0.9831955878211531], 'latent_to_geocentric_r2': 0.932815006980366, 'latent_to_geocentric_r2_per_angle': [0.9968159168326541, 0.8741846731812354], 'latent_to_geocentric_rmse_radians': 0.503472570885955, 'test_branch_heliocentric_to_latent_r2': 0.6890526399939998, 'test_branch_latent_to_heliocentric_r2': 0.6441197495739834, 'test_branch_geocentric_to_latent_r2': 0.9413925035974692, 'test_branch_latent_to_geocentric_r2': 0.9388780956169762}]"
