grid_index,run_name,run_dir,selection_score,validation_mse,validation_sun_mse,validation_mars_mse,validation_mars_velocity_mse,validation_mars_curvature_mse,warmup_steps,steps_per_week,interlayer_scale,velocity_weight,curvature_weight,beta_mode,training_seconds,trainable_parameters
31,warmup-05_steps-05_scale-4_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-4_velocity-1_curvature-1_beta-zero,0.1780258075450547,0.10088527947664261,0.040614500641822815,0.1611560583114624,0.0014488869346678257,0.00023808798869140446,5,5,4.0,1.0,1.0,zero,446.08911431301385,606
88,warmup-05_steps-01_scale-4_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-4_velocity-30_curvature-10_beta-paper,0.17860058540827595,0.10307265818119049,0.04188285022974014,0.16426244378089905,0.0012917575659230351,0.00014205659681465477,5,1,4.0,30.0,10.0,paper,195.6329654129222,606
45,warmup-05_steps-05_scale-4_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-05_scale-4_velocity-1_curvature-1_beta-paper,0.1790907204267569,0.10055965185165405,0.03919828683137894,0.16192099452018738,0.0014797450276091695,0.0002372275630477816,5,5,4.0,1.0,1.0,paper,445.7502635587007,606
77,warmup-05_steps-01_scale-4_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-4_velocity-10_curvature-10_beta-zero,0.17987598516629077,0.10380026698112488,0.042778823524713516,0.16482169926166534,0.0013333074748516083,0.0001721211156109348,5,1,4.0,10.0,10.0,zero,195.72641025204211,606
38,warmup-40_steps-05_scale-2_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-2_velocity-30_curvature-10_beta-paper,0.18797714784159325,0.0992041528224945,0.02243301086127758,0.17597529292106628,0.0011827435810118914,1.744191104080528e-05,40,5,2.0,30.0,10.0,paper,491.96572484914213,606
17,warmup-20_steps-05_scale-2_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-2_velocity-30_curvature-10_beta-paper,0.18816516641527414,0.0992627963423729,0.02243627794086933,0.1760893166065216,0.0011884645791724324,1.9120401702821255e-05,20,5,2.0,30.0,10.0,paper,465.14876915095374,606
91,warmup-40_steps-01_scale-2_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-2_velocity-30_curvature-10_beta-paper,0.18831644126476021,0.09890061616897583,0.021773330867290497,0.17602790892124176,0.0012025563046336174,2.6296929718228057e-05,40,1,2.0,30.0,10.0,paper,243.4802869502455,606
39,warmup-40_steps-05_scale-2_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-2_velocity-10_curvature-10_beta-paper,0.18869612591151963,0.09949320554733276,0.022358788177371025,0.17662762105464935,0.0011894571362063289,1.7393349480698816e-05,40,5,2.0,10.0,10.0,paper,492.37221030611545,606
55,warmup-20_steps-05_scale-2_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-2_velocity-10_curvature-10_beta-paper,0.188881366597343,0.09954825788736343,0.022360412403941154,0.17673613131046295,0.0011953312205150723,1.9192308172932826e-05,20,5,2.0,10.0,10.0,paper,465.8444109922275,606
46,warmup-40_steps-01_scale-2_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-2_velocity-10_curvature-10_beta-paper,0.18897388999175746,0.09914892911911011,0.021674124523997307,0.17662373185157776,0.0012077608844265342,2.725492959143594e-05,40,1,2.0,10.0,10.0,paper,242.97551341401413,606
6,warmup-40_steps-03_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-2_velocity-1_curvature-1_beta-paper,0.1890451245380973,0.09949878603219986,0.022097088396549225,0.1769004911184311,0.0011947649763897061,1.969836557691451e-05,40,3,2.0,1.0,1.0,paper,368.0171494670212,606
56,warmup-20_steps-03_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-2_velocity-1_curvature-1_beta-paper,0.189279732752766,0.09956483542919159,0.022099308669567108,0.17703035473823547,0.001202827668748796,2.2110132704256102e-05,20,3,2.0,1.0,1.0,paper,343.8424888718873,606
100,warmup-20_steps-01_scale-2_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-01_scale-2_velocity-10_curvature-10_beta-paper,0.18928121405406273,0.09927035868167877,0.021658767014741898,0.17688196897506714,0.0012146364897489548,2.528801815060433e-05,20,1,2.0,10.0,10.0,paper,216.3797820257023,606
35,warmup-40_steps-01_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-2_velocity-1_curvature-1_beta-paper,0.1893176528828917,0.09925992041826248,0.021597132086753845,0.17692270874977112,0.0012106368085369468,2.8857604775112122e-05,40,1,2.0,1.0,1.0,paper,243.77021203469485,606
81,warmup-20_steps-01_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-01_scale-2_velocity-1_curvature-1_beta-paper,0.18961717550700996,0.0993809849023819,0.02158335968852043,0.17717859148979187,0.0012174425646662712,2.641583705553785e-05,20,1,2.0,1.0,1.0,paper,216.14256708230823,606
