grid_index,run_name,run_dir,selection_score,validation_mse,validation_sun_mse,validation_mars_mse,validation_mars_velocity_mse,validation_mars_curvature_mse,warmup_steps,steps_per_week,interlayer_scale,velocity_weight,curvature_weight,beta_mode,training_seconds,trainable_parameters
60,warmup-05_steps-01_scale-2_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-2_velocity-10_curvature-10_beta-zero,0.2009678041213192,0.10608026385307312,0.026707151904702187,0.1854533702135086,0.001371765392832458,0.00017967799794860184,5,1,2.0,10.0,10.0,zero,195.66542631015182,606
87,warmup-05_steps-01_scale-2_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-2_velocity-1_curvature-1_beta-paper,0.20768437220249325,0.10417826473712921,0.025742560625076294,0.18261396884918213,0.001623049145564437,0.0008839911897666752,5,1,2.0,1.0,1.0,paper,196.15939999185503,606
14,warmup-05_steps-01_scale-2_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-05_steps-01_scale-2_velocity-1_curvature-1_beta-zero,0.20981432090047747,0.10544146597385406,0.026455862447619438,0.18442706763744354,0.0016235297080129385,0.0009151956182904541,5,1,2.0,1.0,1.0,zero,195.4711998431012,606
76,warmup-40_steps-03_scale-1_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-1_velocity-1_curvature-1_beta-paper,0.21502378175864578,0.113483726978302,0.024356301873922348,0.20261113345623016,0.001217630342580378,2.3634487661183812e-05,40,3,1.0,1.0,1.0,paper,368.9260664493777,606
71,warmup-40_steps-01_scale-1_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-1_velocity-10_curvature-10_beta-paper,0.21516734227407142,0.11352776736021042,0.024482937529683113,0.20257259905338287,0.00122956489212811,2.9909429940744303e-05,40,1,1.0,10.0,10.0,paper,243.26366653619334,606
95,warmup-20_steps-03_scale-1_velocity-1_curvature-1_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-1_velocity-1_curvature-1_beta-paper,0.21525856270454824,0.11352857947349548,0.024382147938013077,0.2026749849319458,0.0012293990002945065,2.8958776965737343e-05,20,3,1.0,1.0,1.0,paper,342.5880011888221,606
58,warmup-20_steps-01_scale-1_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-01_scale-1_velocity-10_curvature-10_beta-paper,0.21532083969941596,0.11359763890504837,0.024494996294379234,0.20270031690597534,0.0012355055660009384,2.6546713343122974e-05,20,1,1.0,10.0,10.0,paper,215.78021393204108,606
86,warmup-20_steps-05_scale-1_velocity-10_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-1_velocity-10_curvature-10_beta-paper,0.215570213891624,0.11424119025468826,0.025333737954497337,0.20314863324165344,0.0012208280386403203,2.1330026356736198e-05,20,5,1.0,10.0,10.0,paper,465.4591711210087,606
37,warmup-40_steps-03_scale-1_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-1_velocity-30_curvature-10_beta-paper,0.2164243480983714,0.11499686539173126,0.02602677419781685,0.20396697521209717,0.001222885213792324,2.285207483510021e-05,40,3,1.0,30.0,10.0,paper,368.4484597980045,606
94,warmup-40_steps-05_scale-1_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-1_velocity-30_curvature-10_beta-paper,0.21651880272474955,0.11523199826478958,0.026301374658942223,0.2041626274585724,0.0012178471079096198,1.777041870809626e-05,40,5,1.0,30.0,10.0,paper,491.7408379097469,606
101,warmup-20_steps-03_scale-1_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-1_velocity-30_curvature-10_beta-paper,0.21656674303449108,0.11504460126161575,0.026075473055243492,0.20401372015476227,0.001230037771165371,2.5264516807510518e-05,20,3,1.0,30.0,10.0,paper,343.3208489068784,606
79,warmup-20_steps-05_scale-1_velocity-30_curvature-10_beta-paper,results/solar-grid-15k-108774/runs/warmup-20_steps-05_scale-1_velocity-30_curvature-10_beta-paper,0.2165878030755266,0.11524403095245361,0.026328928768634796,0.20415915548801422,0.0012225263053551316,2.033845339610707e-05,20,5,1.0,30.0,10.0,paper,465.66028019506484,606
32,warmup-40_steps-01_scale-1_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-1_velocity-10_curvature-10_beta-zero,0.2192166161185014,0.11603634804487228,0.025456976145505905,0.20661571621894836,0.0012301685055717826,2.99214843835216e-05,40,1,1.0,10.0,10.0,zero,243.34424036601558,606
21,warmup-40_steps-01_scale-1_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-01_scale-1_velocity-1_curvature-1_beta-zero,0.21927470905939117,0.11590313911437988,0.025168487802147865,0.20663778483867645,0.0012318986700847745,3.1793751986697316e-05,40,1,1.0,1.0,1.0,zero,243.39476875402033,606
89,warmup-40_steps-05_scale-1_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-05_scale-1_velocity-1_curvature-1_beta-zero,0.2193720736540854,0.11656103283166885,0.026091167703270912,0.20703089237213135,0.0012161748018115759,1.7943326383829117e-05,40,5,1.0,1.0,1.0,zero,491.86703923810273,606
66,warmup-20_steps-01_scale-1_velocity-1_curvature-1_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-01_scale-1_velocity-1_curvature-1_beta-zero,0.2194277812159271,0.1159723699092865,0.025180086493492126,0.20676465332508087,0.00123833236284554,2.798042623908259e-05,20,1,1.0,1.0,1.0,zero,216.0261171841994,606
9,warmup-40_steps-03_scale-1_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-40_steps-03_scale-1_velocity-10_curvature-10_beta-zero,0.2196714837446052,0.11672674864530563,0.026228539645671844,0.20722496509552002,0.0012201089411973953,2.4542923711123876e-05,40,3,1.0,10.0,10.0,zero,368.3434129720554,606
13,warmup-20_steps-03_scale-1_velocity-10_curvature-10_beta-zero,results/solar-grid-15k-108774/runs/warmup-20_steps-03_scale-1_velocity-10_curvature-10_beta-zero,0.21987928100134013,0.11677814275026321,0.026258883997797966,0.20729738473892212,0.0012297024950385094,2.8487131203291938e-05,20,3,1.0,10.0,10.0,zero,344.5543508892879,606
