reservoir_size,seeds,trainable_parameters,fixed_matrix_scalars,total_tensor_scalars,validation_relative_rmse_2pi_mean,validation_relative_rmse_2pi_std,test_relative_rmse_2pi_mean,test_relative_rmse_2pi_std,heliocentric_to_latent_r2_mean,heliocentric_to_latent_r2_std,latent_to_heliocentric_r2_mean,latent_to_heliocentric_r2_std,geocentric_to_latent_r2_mean,geocentric_to_latent_r2_std,latent_to_geocentric_r2_mean,latent_to_geocentric_r2_std,heliocentric_advantage_forward_r2_mean,heliocentric_advantage_forward_r2_std,heliocentric_advantage_reverse_r2_mean,heliocentric_advantage_reverse_r2_std,latent_delta_cosine_similarity_mean,latent_delta_cosine_similarity_std,latent_delta_relative_error_mean,latent_delta_relative_error_std,training_seconds_mean,training_seconds_std
10,3,46,240,286,0.37801140553899887,0.057476327184132,0.3783314497477732,0.05762623625851077,0.8048668871343612,0.0927736961773998,0.7400383003205541,0.1897065429949164,0.8432071171611888,0.10183754384014808,0.7722578202338383,0.19691243952111656,-0.03834023002682766,0.009319737479770917,-0.032219519913284235,0.007223796709669068,0.7979018759521447,0.06786019374175671,5.222368294760035,3.244775922401284,335.5954855220043,0.09217599016339165
20,3,86,880,966,0.17815464734153139,0.016644801838155494,0.178347632201865,0.017004433890250876,0.8227680486278336,0.027600824020436836,0.829513083537805,0.06878440435234305,0.8464612098005867,0.022952009827909327,0.8461733964848221,0.06253563435286555,-0.023693161172752924,0.006280533447703566,-0.016660312947017236,0.006461131656858632,0.8714979980298135,0.07454052085946739,1.2444733909405126,0.7972160223273272,339.9279249496758,0.4017195782936598
30,3,126,1920,2046,0.12473156936871543,0.011111162872796605,0.12454757787584053,0.011317314841373738,0.9002110667384376,0.018508367848346936,0.9156697368909049,0.010797530639557365,0.9159431706386328,0.025450594274101974,0.9281674832468569,0.01619407793325665,-0.015732103900195266,0.010321298972148034,-0.012497746355952133,0.009223912587458725,0.9911852200544904,0.013330949650422329,0.2872207560464762,0.21261743065161412,336.7369880166564,0.8793285367319728
50,3,206,5200,5406,0.09352547205142836,0.011817678851110324,0.0931216341019166,0.011890421837474515,0.9315106309101759,0.030811725858485895,0.9343790859292475,0.028448245610824315,0.9449728055283727,0.025002496125322383,0.9426324763668633,0.025438128708372646,-0.013462174618196654,0.010359711544582728,-0.008253390437615896,0.009399026202327056,0.996396411354937,0.00541366563633149,0.12149157818839135,0.040258522550287806,337.45923194933374,0.16172243151792978
75,3,306,11550,11856,0.07469139466436679,0.006576918674849125,0.07472122080914016,0.006410406023321589,0.968844323511891,0.012632204919747973,0.9705599230248354,0.00971210627365203,0.9616924199612411,0.003955304023511806,0.9627269925902219,0.006766691637276029,0.007151903550650022,0.01650748043567628,0.007832930434613639,0.013512399578575317,0.9992561618863142,0.0007506463926567613,0.0478921736630846,0.007592359429113931,341.1634529176711,0.48040208870830586
100,3,406,20400,20806,0.059355460901730515,0.0016214623357096178,0.05960665900450741,0.0015288336264191787,0.9829181519664861,0.002827234068204527,0.9813626578549659,0.004744286326855039,0.9593172775653104,0.005249576243250529,0.9536983341871053,0.009837574757211793,0.023600874401175604,0.0031473462350028797,0.027664323667860757,0.005107824016524056,0.9996213899216038,0.000361430029945973,0.04041514616744401,0.0188676829493715,341.0176993590042,0.45555218375116335
150,3,606,45600,46206,0.051173536294849754,0.0010736302592584204,0.051515498932449076,0.0009878086550126166,0.98407574161053,0.0024080777745664125,0.9844531131291129,0.002423439282999386,0.9522261106122856,0.0035499291071798304,0.9535867340979577,0.006499472397605243,0.03184963099824445,0.0038989045767847384,0.030866379031155005,0.00498629759829211,0.9999263200520332,0.0001258484419022652,0.020190367429673412,0.0041884847913573236,341.93108332599513,0.9330798068929165
200,3,806,80800,81606,0.04710248928109115,0.0013781565106636825,0.047506381076474,0.001458002749490771,0.9783615424242967,0.0036111704167579466,0.9775951822029652,0.00302883702467994,0.9467743881350237,0.013764262353485324,0.9479508414887491,0.00762929702127452,0.03158715428927317,0.010164877261667753,0.029644340714216105,0.004776902909599674,0.9998792667968409,0.0001006854143915969,0.018790512772837078,0.007295476032754434,376.01348440299626,0.3087773251903521
250,3,1006,126000,127006,0.04628713576713785,0.0004208594183406738,0.04663238026427313,0.0004769373457668759,0.9847631813389012,0.0007288197115401151,0.9835513677572817,0.0014491063323280433,0.9567784964623499,0.009522299885432376,0.9538374433889022,0.006925964762889603,0.027984684876551296,0.00921440145671546,0.029713924368379347,0.007407983314174907,0.9999197157633191,9.077506384807674e-05,0.018138966070377984,0.0021556997934332025,435.3161113273333,0.3498406592801261
300,3,1206,181200,182406,0.043528315927940764,0.0010147450315355854,0.043799240684369904,0.0010324353936722135,0.9704471017248819,0.013834131383374111,0.9748337240035726,0.00990895560655914,0.9259258618583708,0.02038334112942425,0.9349106593093026,0.014016490866640445,0.04452123986651113,0.006942699548778596,0.03992306469427017,0.00691781634501178,0.9996805185960173,0.00031758604753127174,0.028894715063717148,0.018773821098249637,532.5659837196678,0.7332782893050996
