reservoir_size,seed,run_dir,device,trainable_parameters,fixed_matrix_scalars,total_tensor_scalars,optimization_steps,training_seconds,best_validation_mse,best_validation_step,validation_mse,validation_relative_rmse_2pi,test_mse,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,latent_to_heliocentric_r2,geocentric_to_latent_r2,latent_to_geocentric_r2,heliocentric_advantage_forward_r2,heliocentric_advantage_reverse_r2,latent_delta_cosine_similarity,latent_delta_relative_error
50,1,runs/size_050/reservoir/seed_1,cuda,206,5200,5406,15000,337.28105692600366,0.4457020163536072,15000,0.4375218451023102,0.10527372798465155,0.43570151925086975,0.10505450209922342,0.3365458846092224,0.5348571538925171,0.0016239985125139356,2.3989943656488322e-05,0.9178338298323886,0.9152119377650667,0.9425423143477832,0.9342190340911827,-0.024708484515394646,-0.01900709632611597,0.9901561506465324,0.14261985527435825
50,2,runs/size_050/reservoir/seed_2,cuda,206,5200,5406,15000,337.49990055299713,0.2689954340457916,15000,0.2631244361400604,0.0816395726883318,0.26077398657798767,0.08127411793309851,0.1579216867685318,0.36362624168395996,0.0014245340134948492,3.2144031138159335e-05,0.9667932098444367,0.967066079710011,0.9711017892356696,0.9712114949751736,-0.0043085793912328585,-0.004145415265162544,0.9998361279108967,0.07506735642651412
75,0,runs/size_075/reservoir/seed_0,cuda,306,11550,11856,15000,340.86149462201865,0.23267002403736115,15000,0.22970746457576752,0.07627947332391778,0.22943049669265747,0.07623347278025172,0.11019904911518097,0.34866198897361755,0.0013982673408463597,1.8172304407926276e-05,0.9558740615090955,0.9620946988815366,0.9661238302561961,0.9694828154860159,-0.010249768747100596,-0.0073881166044792446,0.9993402907515572,0.04270809087447003
75,1,runs/size_075/reservoir/seed_1,cuda,306,11550,11856,15000,340.9114406789886,0.25898677110671997,15000,0.25474345684051514,0.08032886867780129,0.25418198108673096,0.08024029409259088,0.1897042989730835,0.3186596930027008,0.001338076894171536,2.584995854704175e-05,0.9695500229825382,0.9684222922892212,0.9604339932563982,0.9559494843332194,0.009116029726140007,0.012472807956001808,0.9984669952134783,0.05660695022490059
75,2,runs/size_075/reservoir/seed_2,cuda,306,11550,11856,15000,341.7174234520062,0.1817111372947693,15000,0.17969153821468353,0.0674658419913813,0.18088702857494354,0.0676898955545779,0.12784825265407562,0.23392578959465027,0.0012931691017001867,2.1007619579904713e-05,0.9811088860440393,0.9811627779037485,0.9585194363711287,0.9627486779514302,0.022589449672910655,0.018414099952318352,0.999961199693907,0.044361479889883176
100,0,runs/size_100/reservoir/seed_0,cuda,406,20400,20806,15000,340.56243972401717,0.15032780170440674,15000,0.14757905900478363,0.061140994715467065,0.14827197790145874,0.061284362405850216,0.08805529773235321,0.20848867297172546,0.0013205603463575244,2.503455471014604e-05,0.9811329603970685,0.9767602662411959,0.9590090678717433,0.9445172916759835,0.022123892525325206,0.03224297456521241,0.9992536756033139,0.05794187836824205
100,1,runs/size_100/reservoir/seed_1,cuda,406,20400,20806,15000,341.01711482400424,0.13562661409378052,15000,0.13269001245498657,0.0579747986616939,0.13414634764194489,0.0582920807751327,0.06917915493249893,0.19911356270313263,0.0012517583090811968,2.4808861780911684e-05,0.9861778283944719,0.986237129070024,0.9647141684865295,0.9640818875425653,0.021463659907942412,0.022155241527458736,0.999976189473502,0.020444652707675162
100,2,runs/size_100/reservoir/seed_2,cuda,406,20400,20806,15000,341.4735435289913,0.13981932401657104,15000,0.13719429075717926,0.058950589328030566,0.1385612040758133,0.059243533832539316,0.07067704945802689,0.2064453810453415,0.001230467576533556,1.856934977695346e-05,0.9814436671079179,0.981090578253678,0.9542285963376587,0.9524958233427668,0.027215070770259198,0.028594754910911124,0.9996343046879953,0.042858907426414815
150,0,runs/size_150/reservoir/seed_0,cuda,606,45600,46206,15000,340.85616253700573,0.10138367861509323,15000,0.09956483542919159,0.050219585260235525,0.10109556466341019,0.05060415564132855,0.022144431248307228,0.18004672229290009,0.0012237954651936889,2.258413951494731e-05,0.9865992201537013,0.9871118048226185,0.9546134298677291,0.9572704429922453,0.03198579028597215,0.029841361830373225,0.9999982639659538,0.015364552606909491
150,1,runs/size_150/reservoir/seed_1,cuda,606,45600,46206,15000,342.5321589630039,0.10427980124950409,15000,0.10254177451133728,0.050964826023136775,0.10420770198106766,0.05137715374894215,0.021915679797530174,0.1864997297525406,0.0012451562797650695,1.8445138266542926e-05,0.9818026267410697,0.9838797942776101,0.9539181964247307,0.9574075519911355,0.027884430316338915,0.0264722422864746,0.9997810051242583,0.02288083261832996
150,2,runs/size_150/reservoir/seed_2,cuda,606,45600,46206,15000,342.4049284779758,0.11014220118522644,15000,0.1081344485282898,0.052336197601176984,0.10908277332782745,0.05256518740707653,0.0430242121219635,0.1751413494348526,0.0012091901153326035,2.0856172341154888e-05,0.9838253779368192,0.9823677402871096,0.948146705544397,0.9460822073104924,0.035678672392422284,0.036285532976617185,0.9999996910658875,0.02232571706378079
200,0,runs/size_200/reservoir/seed_0,cuda,806,80800,81606,15000,375.6954582789913,0.09419846534729004,15000,0.09217111021280289,0.048318955867210016,0.09369620680809021,0.04871706727778512,0.011753788217902184,0.17563863098621368,0.0012350729666650295,2.1668967747245915e-05,0.9816021002696654,0.9809970760178292,0.9584024651711086,0.9567552567169245,0.023199635098556826,0.024241819300904632,0.9999277762890605,0.020567902145476845
200,1,runs/size_200/reservoir/seed_1,cuda,806,80800,81606,15000,376.3120968019939,0.08373662829399109,15000,0.08211048692464828,0.04560573353388273,0.08312967419624329,0.04588789869171739,0.01425620075315237,0.15200315415859222,0.0011717909947037697,1.7787504475563765e-05,0.9790138480252295,0.9751912469767363,0.9503436212462015,0.9438091668020107,0.028670226779027974,0.03138208017472566,0.9997635097308444,0.025033061723360266
200,2,runs/size_200/reservoir/seed_2,cuda,806,80800,81606,15000,376.0328981280036,0.090501569211483,15000,0.08863408863544464,0.04738277844218069,0.09063330292701721,0.047914177259919484,0.02056005783379078,0.1607065498828888,0.0011657675495371222,2.196914101659786e-05,0.9744686789779957,0.9765972236143302,0.931577077987761,0.9432881009473122,0.0428916009902347,0.03330912266701802,0.9999465143706179,0.010770574449674124
250,0,runs/size_250/reservoir/seed_0,cuda,1006,126000,127006,15000,435.7199227990059,0.08769349008798599,15000,0.08593644946813583,0.046656143159640485,0.08728335797786713,0.04702034969721988,0.008257380686700344,0.16630934178829193,0.0011972778011113405,1.7437605492887087e-05,0.9854975239839288,0.9849852027658523,0.9563477831006552,0.956197991440046,0.0291497408832736,0.028787211325806306,0.9998211189688537,0.01900133528251681
250,1,runs/size_250/reservoir/seed_1,cuda,1006,126000,127006,15000,435.12372968698037,0.0841948390007019,15000,0.08291559666395187,0.04582877479379707,0.08389956504106522,0.04609990031724047,0.015242689289152622,0.1525564342737198,0.001177517930045724,1.9847964722430333e-05,0.9847520069710091,0.9820874582593705,0.9665088444520819,0.9592745591486211,0.018243162518927214,0.02281289911074935,0.9999382064292576,0.015685584365637363
250,2,runs/size_250/reservoir/seed_2,cuda,1006,126000,127006,15000,435.10468149601365,0.08640207350254059,15000,0.0849093422293663,0.04637648934797601,0.08638183772563934,0.046776890778359045,0.01224351767450571,0.16052015125751495,0.0011824530083686113,1.8948596334666945e-05,0.9840400130617658,0.9835814422466221,0.9474788618343127,0.9460397795780398,0.03656115122745307,0.03754166266858239,0.9999998218918459,0.019729978562979776
300,0,runs/size_300/reservoir/seed_0,cuda,1206,181200,182406,15000,533.4060752200021,0.08003074675798416,15000,0.07846812158823013,0.04458274037536935,0.07945086061954498,0.04486105003055184,0.014069951139390469,0.14483177661895752,0.0011483104899525642,1.846160739660263e-05,0.9544908686356277,0.9635698468058621,0.9027902090008302,0.922059989252892,0.05170065963479753,0.0415098575529701,0.9993214785547369,0.050365182536656665
300,1,runs/size_300/reservoir/seed_1,cuda,1206,181200,182406,15000,532.2374898830021,0.06261076033115387,2000,0.0745096281170845,0.04344365233717526,0.07552182674407959,0.043737743644767804,0.0038028215058147907,0.14724083244800568,0.0012079126900061965,2.900360050261952e-05,0.9790826072970245,0.9822066979463918,0.941240256148532,0.9498569816946496,0.03784235114849244,0.03234971625174221,0.9999246805856451,0.015567063826309731
300,2,runs/size_300/reservoir/seed_2,cuda,1206,181200,182406,15000,532.0543860559992,0.07313445955514908,15000,0.07150451838970184,0.042558555071277676,0.07231452316045761,0.04279892837779007,0.00588964531198144,0.13873939216136932,0.0011141836876049638,1.858873656601645e-05,0.9777678292419937,0.9787246272584642,0.9337471204257503,0.932815006980366,0.044020708816243426,0.045909620278098195,0.9997953966476695,0.020751898828185046
