reservoir_size,seed,run_dir,device,trainable_parameters,fixed_matrix_scalars,total_tensor_scalars,optimization_steps,training_seconds,best_validation_mse,best_validation_step,validation_mse,validation_relative_rmse_2pi,test_mse,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,latent_to_heliocentric_r2,geocentric_to_latent_r2,latent_to_geocentric_r2,heliocentric_advantage_forward_r2,heliocentric_advantage_reverse_r2,latent_delta_cosine_similarity,latent_delta_relative_error
10,0,runs/size_010/reservoir/seed_0,cuda,46,240,286,15000,335.62002845900133,5.572963714599609,15000,5.566638946533203,0.37550580786862686,5.575085639953613,0.3757905919350232,7.324496269226074,3.825674533843994,0.005144090857356787,0.0002001122193178162,0.885273659099387,0.8567150938481267,0.9331812591733497,0.8928600772581237,-0.047907600073962664,-0.036144983409996945,0.7197406205142053,8.356705006032838
10,1,runs/size_010/reservoir/seed_1,cuda,46,240,286,15000,335.672906006017,4.097342014312744,15000,4.088930130004883,0.3218288522658095,4.093729496002197,0.32201766956430106,4.609129905700684,3.5783286094665527,0.003340589115396142,0.00018061477749142796,0.7033607934707047,0.5211431632928498,0.7326504216154199,0.5450260757800909,-0.029289628144715252,-0.02388291248724106,0.8417907784077164,5.432985309147475
10,2,runs/size_010/reservoir/seed_2,cuda,46,240,286,15000,335.4935221009946,6.402590751647949,2000,7.5287909507751465,0.43669955648256026,7.545576095581055,0.4371860877439955,11.087611198425293,4.003541469573975,0.004551171325147152,1.8858982002711855e-05,0.8259662088329917,0.8422566438206857,0.8637896706947967,0.8788873076633004,-0.037823461861805074,-0.03663066384261471,0.8321742289345124,1.8774145690997952
20,0,runs/size_020/reservoir/seed_0,cuda,86,880,966,15000,339.7021564519964,1.5127463340759277,15000,1.5000585317611694,0.19492800335689908,1.5098567008972168,0.19556358816585795,2.2004785537719727,0.8192349672317505,0.0021816203370690346,3.361258495715447e-05,0.791854369499901,0.7502569799439178,0.822193867131314,0.7740219533781102,-0.03033949763141308,-0.02376497343419237,0.8091113817749932,2.1645784289210357
20,1,runs/size_020/reservoir/seed_1,cuda,86,880,966,15000,340.39173662502435,1.0527253150939941,15000,1.031490445137024,0.1616414495241282,1.0304884910583496,0.16156292399854508,1.2255007028579712,0.835476279258728,0.002005486050620675,1.8154683857574128e-05,0.8449378472031851,0.864652615039272,0.8678207585986148,0.87973267071517,-0.02288291139542975,-0.015080055675897985,0.8513374179479941,0.7597545879262964
20,2,runs/size_020/reservoir/seed_2,cuda,86,880,966,15000,339.68988177200663,1.2524291276931763,15000,1.2493517398834229,0.17789448914356687,1.2496592998504639,0.17791638444119198,1.3778462409973145,1.1214722394943237,0.002325932728126645,2.648226472956594e-05,0.8315119291804149,0.873629655630225,0.8493690036718309,0.8847655653611863,-0.017857074491415936,-0.011135909730961346,0.9540451943664531,0.8090871559742056
30,0,runs/size_030/reservoir/seed_0,cuda,126,1920,2046,15000,337.7251408319862,0.7550042867660522,15000,0.740940272808075,0.1369972129727379,0.7421467304229736,0.1371087024615384,0.8639991879463196,0.6202942132949829,0.0018645018571987748,2.7129291993333027e-05,0.8863566855668419,0.9054431868933822,0.9058234557811333,0.921088010449175,-0.01946677021429144,-0.015644823555792775,0.9757942803988444,0.5307011675823374
30,1,runs/size_030/reservoir/seed_1,cuda,126,1920,2046,15000,336.4451099909784,0.6005030274391174,15000,0.5862307548522949,0.12185810802853422,0.5817235112190247,0.12138875020907862,0.5459580421447754,0.6174889206886292,0.0017129090847447515,2.5466266379226e-05,0.9212308714243173,0.9269595743861773,0.9448970917089471,0.9466958472943038,-0.023666220284629835,-0.019736272908126518,0.9991118845390279,0.19275945633505154
30,2,runs/size_030/reservoir/seed_2,cuda,126,1920,2046,15000,336.04071322700474,0.5376064777374268,15000,0.5251882672309875,0.11533938710487418,0.5234220623970032,0.11514528095690456,0.4329656958580017,0.6138783693313599,0.0018779515521600842,3.6506233300315216e-05,0.8930456432241538,0.914606449393155,0.8971089644258183,0.9167185919970922,-0.004063321201664527,-0.002112142603937106,0.9986494952255989,0.13820164422203962
50,0,runs/size_050/reservoir/seed_0,cuda,206,5200,5406,15000,337.5967383690004,0.35519856214523315,15000,0.34633544087409973,0.09366311548130177,0.3417153060436249,0.09303628227342783,0.13014984130859375,0.553280770778656,0.0018168508540838957,2.4015860617510043e-05,0.9099048530537027,0.9208592403126645,0.9212743130016652,0.9224669000342337,-0.011369459947962457,-0.0016076597215691768,0.9991969555073815,0.14678752286430163
