model,seed,device,trainable_parameters,validation_mse,validation_nrmse,test_mse,test_nrmse,best_epoch,epochs_ran,best_validation_mse,training_seconds
single_esn,0,cpu,151,0.021927472203969955,1.8128322167687383,0.010226871818304062,1.4763893433791873,2,2,0.021927472203969955,0.0059484400117071345
single_esn,1,cpu,151,0.10030235350131989,3.8772061041759325,0.05975450202822685,3.5687391994330095,2,2,0.10030235350131989,0.009764567992533557
single_esn,2,cpu,151,0.2706991136074066,6.369520547231879,0.190715491771698,6.37562083990117,2,2,0.2706991136074066,0.007983798001077957
single_esn,3,cpu,151,0.03431032598018646,2.26764855848419,0.01941891945898533,2.0344266006525604,2,2,0.03431032598018646,0.007271765993209556
single_esn,4,cpu,151,0.038604218512773514,2.405363456621963,0.023420725017786026,2.234239177979179,2,2,0.038604218512773514,0.016240913988440298
deep_esn,0,cpu,151,0.2553783059120178,6.186646862283368,0.17006932199001312,6.020637587744977,2,2,0.2553783059120178,0.011621450001257472
deep_esn,1,cpu,151,0.8747013807296753,11.449676917933088,0.6497893333435059,11.768355642939536,2,2,0.8747013807296753,0.02369739800633397
deep_esn,2,cpu,151,0.35349124670028687,7.278680530467414,0.23331096768379211,7.051752691325279,2,2,0.35349124670028687,0.018777086996124126
deep_esn,3,cpu,151,0.15668985247612,4.8460039289895995,0.10101135820150375,4.639963891045419,2,2,0.15668985247612,0.030993738997494802
deep_esn,4,cpu,151,0.29729774594306946,6.6751208731848815,0.2162448614835739,6.788946615645536,2,2,0.29729774594306946,0.012150637994636782
proposed_nonlinear,0,cpu,1661,0.027662387117743492,2.0361424272627575,0.009603297337889671,1.4306707013303892,2,2,0.027662387117743492,0.02908774399838876
proposed_nonlinear,1,cpu,1661,0.02960733138024807,2.106507250865821,0.019616251811385155,2.044737252759606,2,2,0.02960733138024807,0.02808826901309658
proposed_nonlinear,2,cpu,1661,0.02139405719935894,1.7906466822437663,0.01308412104845047,1.6699434786939815,2,2,0.02139405719935894,0.02253810099500697
proposed_nonlinear,3,cpu,1661,0.2867555320262909,6.555702373964145,0.20047903060913086,6.536781559262232,2,2,0.2867555320262909,0.020839356002397835
proposed_nonlinear,4,cpu,1661,0.1871454417705536,5.296060685823448,0.12029944360256195,5.063622311735233,2,2,0.1871454417705536,0.021450198008096777
proposed_linear,0,cpu,1661,0.029006894677877426,2.085037859203936,0.010062908753752708,1.4645063626010577,2,2,0.029006894677877426,0.02147086799959652
proposed_linear,1,cpu,1661,0.02769347093999386,2.037286097893556,0.018923137336969376,2.00828833703344,2,2,0.02769347093999386,0.028289128007600084
proposed_linear,2,cpu,1661,0.022608423605561256,1.8407655037108857,0.013720815069973469,1.7100919040159406,2,2,0.022608423605561256,0.027267099998425692
proposed_linear,3,cpu,1661,0.2878417372703552,6.568106856116109,0.2027052938938141,6.572975915577156,2,2,0.2878417372703552,0.04018707999784965
proposed_linear,4,cpu,1661,0.1894739419221878,5.328906145160571,0.12169021368026733,5.092808220925037,2,2,0.1894739419221878,0.02036488200246822
large_esn,0,cpu,301,0.22434428334236145,5.798569005465805,0.13913048803806305,5.445536204029227,2,2,0.22434428334236145,0.03699238500848878
large_esn,1,cpu,301,0.08814765512943268,3.634701146798947,0.06226643919944763,3.6429776834246526,2,2,0.08814765512943268,0.03941502400266472
large_esn,2,cpu,301,0.040578246116638184,2.466095904979541,0.025316894054412842,2.3229224302273743,2,2,0.040578246116638184,0.0545460040011676
large_esn,3,cpu,301,0.03981884568929672,2.4429110790605235,0.03409711271524429,2.695803905146229,2,2,0.03981884568929672,0.08952680400398094
large_esn,4,cpu,301,0.04797586053609848,2.6814809302344074,0.03624832630157471,2.77954349767134,2,2,0.04797586053609848,0.09270894499786664
