model,seed,device,trainable_parameters,optimization_steps,best_validation_mse,best_validation_step,training_seconds,final_latent_delta,validation_mse,validation_rmse_radians,validation_relative_rmse_2pi,validation_sun_mse,validation_mars_mse,validation_sun_rmse_radians,validation_mars_rmse_radians,validation_mars_velocity_mse,validation_mars_curvature_mse,test_mse,test_rmse_radians,test_relative_rmse_2pi,test_sun_mse,test_mars_mse,test_sun_rmse_radians,test_mars_rmse_radians,test_mars_velocity_mse,test_mars_curvature_mse,heliocentric_to_latent_r2,heliocentric_to_latent_r2_per_dimension,geocentric_to_latent_r2,geocentric_to_latent_r2_per_dimension,latent_to_heliocentric_r2,latent_to_heliocentric_r2_per_angle,latent_to_heliocentric_rmse_radians,test_branch_heliocentric_to_latent_r2,test_branch_latent_to_heliocentric_r2,learned_latent_delta,heliocentric_fit_expected_delta,latent_delta_relative_error,latent_delta_cosine_similarity,heliocentric_fit_coefficients,latent_depth_diagnostics
reservoir,0,cuda,206,15000,0.35519856214523315,15000,337.5967383690004,"[-0.008885735645890236, -0.014450479298830032]",0.34633544087409973,0.5885027110167801,0.09366311548130177,0.13113555312156677,0.5615352988243103,0.3621264325088225,0.7493565898985011,0.0018434040248394012,2.3338412574958056e-05,0.3417153060436249,0.5845642018150143,0.09303628227342783,0.13014984130859375,0.553280770778656,0.36076286021234744,0.7438284552090327,0.0018168508540838957,2.4015860617510043e-05,0.9099048530537027,"[0.8975238096691724, 0.9560863273847634]",0.9212743130016652,"[0.910791541930814, 0.9603752034012715]",0.9208592403126645,"[0.9545315195983319, 0.8863385713404346]",0.5060344781754786,0.5810698969870528,0.6722095029201449,"[-0.008885735645890236, -0.014450479298830032]","[-0.0072777427334907545, -0.012973312695922074]",0.14678752286430163,0.9991969555073815,"[[0.04781388344572283, -0.1118256502095194], [-0.20366661296025357, 0.007834969546750472], [0.7834589790771884, 0.055409341136003154]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9099048530537027, 'heliocentric_to_latent_r2_per_dimension': [0.8975238096691724, 0.9560863273847634], 'latent_to_heliocentric_r2': 0.9208592403126645, 'latent_to_heliocentric_r2_per_angle': [0.9545315195983319, 0.8863385713404346], 'latent_to_heliocentric_rmse_radians': 0.5060344781754786, 'geocentric_to_latent_r2': 0.9212743130016652, 'geocentric_to_latent_r2_per_dimension': [0.910791541930814, 0.9603752034012715], 'latent_to_geocentric_r2': 0.9224669000342337, 'latent_to_geocentric_r2_per_angle': [0.9545315195983319, 0.8913692847262359], 'latent_to_geocentric_rmse_radians': 0.5078771469287169, 'test_branch_heliocentric_to_latent_r2': 0.5810698969870528, 'test_branch_latent_to_heliocentric_r2': 0.6722095029201449, 'test_branch_geocentric_to_latent_r2': 0.9237172887814604, 'test_branch_latent_to_geocentric_r2': 0.923760371542061}]"
reservoir,1,cuda,206,15000,0.4457020163536072,15000,337.28105692600366,"[0.01930287852883339, -0.004588817246258259]",0.4375218451023102,0.6614543409051831,0.10527372798465155,0.3312104344367981,0.5438332557678223,0.5755088482697708,0.7374505107244975,0.0016348849749192595,2.353535637666937e-05,0.43570151925086975,0.6600769040429075,0.10505450209922342,0.3365458846092224,0.5348571538925171,0.5801257489624317,0.7313392878086867,0.0016239985125139356,2.3989943656488322e-05,0.9178338298323886,"[0.9262297444044403, 0.9121335532259341]",0.9425423143477832,"[0.9162199410803796, 0.9604135058961059]",0.9152119377650667,"[0.9447750552802838, 0.8871941585684668]",0.5368092851194968,0.7222846353039446,0.6630893684813041,"[0.01930287852883339, -0.004588817246258259]","[0.018152281911081532, -0.007120558285099013]",0.14261985527435825,0.9901561506465324,"[[0.1066484654233211, -0.1242140512479766], [0.0828018814978127, 0.12256846806713963], [-0.45081833910451147, -0.29633506152800415]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9178338298323886, 'heliocentric_to_latent_r2_per_dimension': [0.9262297444044403, 0.9121335532259341], 'latent_to_heliocentric_r2': 0.9152119377650667, 'latent_to_heliocentric_r2_per_angle': [0.9447750552802838, 0.8871941585684668], 'latent_to_heliocentric_rmse_radians': 0.5368092851194968, 'geocentric_to_latent_r2': 0.9425423143477832, 'geocentric_to_latent_r2_per_dimension': [0.9162199410803796, 0.9604135058961059], 'latent_to_geocentric_r2': 0.9342190340911827, 'latent_to_geocentric_r2_per_angle': [0.9447750552802838, 0.9249932180312094], 'latent_to_geocentric_rmse_radians': 0.4829602726429248, 'test_branch_heliocentric_to_latent_r2': 0.7222846353039446, 'test_branch_latent_to_heliocentric_r2': 0.6630893684813041, 'test_branch_geocentric_to_latent_r2': 0.9457936276850528, 'test_branch_latent_to_geocentric_r2': 0.9385114544909363}]"
reservoir,2,cuda,206,15000,0.2689954340457916,15000,337.49990055299713,"[-0.021422050893306732, 0.010097765363752842]",0.2631244361400604,0.5129565635997462,0.0816395726883318,0.1591990888118744,0.36704981327056885,0.39899760502022363,0.6058463611102809,0.0014223394682630897,3.1539333576802164e-05,0.26077398657798767,0.5106603436512255,0.08127411793309851,0.1579216867685318,0.36362624168395996,0.39739361691971326,0.6030142964175559,0.0014245340134948492,3.2144031138159335e-05,0.9667932098444367,"[0.9682905971838437, 0.965384727425705]",0.9711017892356696,"[0.9588585801332359, 0.9826180778510548]",0.967066079710011,"[0.985455608698778, 0.9501064339097682]",0.3518870474740167,0.6634357950749694,0.664219192166245,"[-0.021422050893306732, 0.010097765363752842]","[-0.020137562943464506, 0.00905047108426011]",0.07506735642651412,0.9998361279108967,"[[-0.09701802540120397, 0.12954259212785163], [-0.13193668934752095, -0.10245331637372752], [0.5080213498460765, 0.1978110627503121]]","[{'latent_index': 1, 'source_reservoir': 1, 'heliocentric_to_latent_r2': 0.9667932098444367, 'heliocentric_to_latent_r2_per_dimension': [0.9682905971838437, 0.965384727425705], 'latent_to_heliocentric_r2': 0.967066079710011, 'latent_to_heliocentric_r2_per_angle': [0.985455608698778, 0.9501064339097682], 'latent_to_heliocentric_rmse_radians': 0.3518870474740167, 'geocentric_to_latent_r2': 0.9711017892356696, 'geocentric_to_latent_r2_per_dimension': [0.9588585801332359, 0.9826180778510548], 'latent_to_geocentric_r2': 0.9712114949751736, 'latent_to_geocentric_r2_per_angle': [0.985455608698778, 0.9581626626348962], 'latent_to_geocentric_rmse_radians': 0.3295711849010018, 'test_branch_heliocentric_to_latent_r2': 0.6634357950749694, 'test_branch_latent_to_heliocentric_r2': 0.664219192166245, 'test_branch_geocentric_to_latent_r2': 0.9752173570236696, 'test_branch_latent_to_geocentric_r2': 0.9761208223838158}]"
