model,seeds,trainable_parameters,test_mse_mean,test_mse_std,test_nrmse_mean,test_nrmse_std
single_esn,5,151,0.060707302019000056,0.07507717766194476,3.137883032269021,1.966172216379211
deep_esn,5,151,0.27408516854047776,0.21618018883858212,7.253931285740149,2.692162378571333
proposed_nonlinear,5,1661,0.07261642888188362,0.0850680374843757,3.349151060756288,2.3077153334569576
proposed_linear,5,1661,0.0734204737469554,0.08601267708517507,3.3697341480305263,2.316656106914031
large_esn,5,301,0.0594118520617485,0.04664509809453865,3.3773567440997647,1.2531607472751067
